Clave del Bien,Nombre del Bien,Grupo,Subgrupo,Clase,Marca,Modelo,Color,N. de Serie,No Factura,Proveedor,R. Social,Cod. Salud,F. Adquisicion,F. de Factura,F. de  Baja,Valor,F. Registro,Resguardo,ValorActual,ValorResidual,Cuenta Contable,Cuenta de Depreciacion,Cta de Activos,Ubicacion, D E P R E C I A C I O N E S,c1,c2,c3,c4,c5,c6,c7,c8,c9,Caracteristicas,Procedencia,Direccion,Division,Departamento,Responsable,Clave Emp.,Puesto,Clasificado,Nivel Dep.,Inventario Fisico,Ruta QR
42,MESA PARA MAQUINA DE ESCRIBIR,5,1,1,POLOMATIC,SIN MODELO,,SIN SERIE,,0,,,COMPRA,31/12/2014,,450,31/12/2014,1217,0,4.5,12411,1.26E+13,1.24E+13,DIRECCION GENERAL,16/02/2023,120,98,22,445.5,3.71,7.42,363.58,81.92,0,13/03/2024  *  SECRETARIA,HC,DIRECCION GENERAL,DIRECCION GENERAL,DIRECCION GENERAL,DR. JAVIER ALFONSO PINEDO ONOFRE,,,,1,1,\\serverhcimp\sistemas\hosp\patrimonial\qr\QR-000042.bmp
43,MAQUINA DE ESCRIBIR ELECTRICA,5,9,1,OLYMPIA,CONFORTYDE MD,,SIN SERIE,,0,,,COMPRA,31/12/2014,,"1,315.78",31/12/2014,1217,0,13.16,12419,1.26E+13,1.24E+13,DIRECCION GENERAL,16/02/2023,120,98,22,"1,302.62",10.86,21.72,"1,064.28",238.34,0,"13/03/2024   *  SECRETARIA",HC,DIRECCION GENERAL,DIRECCION GENERAL,DIRECCION GENERAL,DR. JAVIER ALFONSO PINEDO ONOFRE,,,,1,1,\\serverhcimp\sistemas\hosp\patrimonial\qr\QR-000043.bmp
44,ESCRITORIO,5,1,1,,,,,,0,,,COMPRA,31/12/2014,,"1,393.00",31/12/2014,0,0,13.93,12411,1.26E+13,1.24E+13,ALMACEN DE ACTIVO FIJO,16/02/2023,120,98,22,"1,379.07",11.49,22.98,"1,126.02",253.05,0,+++  *  2 CAJONES,HC,DIRECCION ADMINISTRATIVA,DIVISION DE RECURSOS MATERIALES,ACTIVO FIJO,L.D. ANA ROSA JUAREZ CONTRERAS,,,,1,1,\\serverhcimp\sistemas\hosp\patrimonial\qr\QR-000044.bmp
45,MESA DE COMPUTO,5,1,1,SIN MARCA,SIN MODELO,X,SIN SERIE,,0,,,COMPRA,31/12/2014,,798.99,31/12/2014,0,0,7.99,12411,1.26E+13,1.24E+13,NEONATOLOGIA,16/02/2023,120,98,22,791,6.59,13.18,645.82,145.18,0,+++ *,DONADO/OFICIALIA MAY,DIRECCION MEDICA,PEDIATRIA,DIVISION DE PEDIATRIA,DRA. MARTHA ELIZABETH RUBIO HERNANDEZ,,,,1,1,\\serverhcimp\sistemas\hosp\patrimonial\qr\QR-000045.bmp
46,SILLA DE ESPERA,5,1,1,,,,,,0,,,COMPRA,31/12/2014,,335,31/12/2014,0,0,0,12411,1.26E+13,1.24E+13,ENSEÑANZA E INVESTIGACION/SALA DE JUNTAS,16/02/2023,120,98,22,335,2.79,5.52,270.48,61.17,0,04/01/2024   *  SALA DE JUNTAS RAMIREZ ASNAR  COLOR BEIGE,HC,DIRECCION MEDICA,SUBDIRECCION DE ENSEÑANZA,SUBDIRECCION DE ENSEÑANZA,DR. JUAN MANUEL LOPEZ QUIJANO,,,,1,1,\\serverhcimp\sistemas\hosp\patrimonial\qr\QR-000046.bmp
47,SILLA DE ESPERA,5,1,1,,,,,,0,,,COMPRA,31/12/2014,,335,31/12/2014,0,0,3.35,12411,1.26E+13,1.24E+13,ALMACEN DE ACTIVO FIJO,16/02/2023,120,0,0,331.65,0,0,0,0,0,+++    *  COLOR BEIGE,HC,DIRECCION ADMINISTRATIVA,DIVISION DE RECURSOS MATERIALES,ACTIVO FIJO,L.D. ANA ROSA JUAREZ CONTRERAS,,,,1,1,\\serverhcimp\sistemas\hosp\patrimonial\qr\QR-000047.bmp
48,SILLA DE ESPERA,5,1,1,,,,,,0,,,COMPRA,31/12/2014,,335,31/12/2014,0,0,3.35,12411,1.26E+13,1.24E+13,ALMACEN DE ACTIVO FIJO,16/02/2023,120,0,0,331.65,0,0,0,0,0,+++       *  COLOR BEIGE,HC,DIRECCION ADMINISTRATIVA,DIVISION DE RECURSOS MATERIALES,ACTIVO FIJO,L.D. ANA ROSA JUAREZ CONTRERAS,,,,1,1,\\serverhcimp\sistemas\hosp\patrimonial\qr\QR-000048.bmp
49,CALENTADOR,5,9,1,LAKEWOOD,7096,,234R,,0,,,COMPRA,31/12/2014,,699,31/12/2014,0,0,6.99,12419,1.26E+13,1.24E+13,DIRECCION GENERAL,,120,0,120,692.01,5.77,0,0,692.01,0,-   *,HC,DIRECCION GENERAL,DIRECCION GENERAL,DIRECCION GENERAL,DR. JAVIER ALFONSO PINEDO ONOFRE,,,,1,2,\\serverhcimp\sistemas\hosp\patrimonial\qr\QR-000049.bmp
50,IMPRESORA,5,5,1,HP,LASERJET 1200,,CNBJ17611,,0,,,COMPRA,31/12/2014,15/09/2022,"4,477.30",31/12/2014,896,0,44.77,12413,1.26E+13,1.24E+13,JEFATURA DE ENFERMERIA,31/08/2021,36,22,0,"4,432.53",123,"1,230.00","4,428.00","4,432.53",0,- *,HC,DIRECCION MEDICA,PARAMEDICA,ENFERMERIA,COLORADO JUAREZ MA. GUADALUPE,,,,1,2,\\serverhcimp\sistemas\hosp\patrimonial\qr\QR-000050.bmp
51,SILLA DE ESPERA,5,1,1,,,,,,0,,,COMPRA,31/12/2014,12/07/2024,335,31/12/2014,1101,0,3.35,12411,1.26E+13,1.24E+13,ALMACEN DE ACTIVO FIJO,,120,0,120,331.65,2.76,0,0,331.65,0,-   *  COLOR GRIS,HC,DIRECCION ADMINISTRATIVA,DIVISION DE RECURSOS MATERIALES,ACTIVO FIJO,L.D. ANA ROSA JUAREZ CONTRERAS,,,,1,1,\\serverhcimp\sistemas\hosp\patrimonial\qr\QR-000051.bmp
52,CPU,5,5,1,DELL,OPTIPLEX 320,,HGPKP-GY8V8,,0,,,COMPRA,31/12/2014,28/01/2020,"13,000.81",31/12/2014,532,0,130.01,12413,1.26E+13,1.24E+13,MEDICINA LEGAL,04/09/2021,36,36,0,"12,870.80",357.52,0,"12,870.72","12,870.80",0,,DONADO/MULTIFARMACOS,DIRECCION GENERAL,MEDICINA LEGAL,MEDICINA LEGAL,DR. RICARDO J. DIAZ DE LEON NAVARRO,,,,1,4,\\serverhcimp\sistemas\hosp\patrimonial\qr\QR-000052.bmp
